2013-05-24 05:21:47 startup archives install
2013-05-24 05:21:47 install dpkg:amd64 <none> 1.16.10
2013-05-24 05:21:47 status half-installed dpkg:amd64 1.16.10
2013-05-24 05:21:48 status unpacked dpkg:amd64 1.16.10
2013-05-24 05:21:48 status unpacked dpkg:amd64 1.16.10
2013-05-24 05:21:48 configure dpkg:amd64 1.16.10 1.16.10
2013-05-24 05:21:48 status unpacked dpkg:amd64 1.16.10
2013-05-24 05:21:48 status unpacked dpkg:amd64 1.16.10
2013-05-24 05:21:48 status unpacked dpkg:amd64 1.16.10
2013-05-24 05:21:48 status unpacked dpkg:amd64 1.16.10
2013-05-24 05:21:48 status unpacked dpkg:amd64 1.16.10
2013-05-24 05:21:48 status half-configured dpkg:amd64 1.16.10
2013-05-24 05:21:48 status installed dpkg:amd64 1.16.10
2013-05-24 05:21:52 startup archives install
2013-05-24 05:21:52 install cdebootstrap-helper-rc.d:all <none> 1
2013-05-24 05:21:52 status half-installed cdebootstrap-helper-rc.d:all 1
2013-05-24 05:21:52 status unpacked cdebootstrap-helper-rc.d:all 1
2013-05-24 05:21:52 status unpacked cdebootstrap-helper-rc.d:all 1
2013-05-24 05:21:52 configure cdebootstrap-helper-rc.d:all 1 1
2013-05-24 05:21:52 status unpacked cdebootstrap-helper-rc.d:all 1
2013-05-24 05:21:52 status half-configured cdebootstrap-helper-rc.d:all 1
2013-05-24 05:21:52 status installed cdebootstrap-helper-rc.d:all 1
2013-05-24 05:21:53 startup archives install
2013-05-24 05:21:53 install cdebootstrap-helper-makedev:all <none> 1
2013-05-24 05:21:53 status half-installed cdebootstrap-helper-makedev:all 1
2013-05-24 05:21:53 status unpacked cdebootstrap-helper-makedev:all 1
2013-05-24 05:21:53 status unpacked cdebootstrap-helper-makedev:all 1
2013-05-24 05:21:53 configure cdebootstrap-helper-makedev:all 1 1
2013-05-24 05:21:53 status unpacked cdebootstrap-helper-makedev:all 1
2013-05-24 05:21:53 status half-configured cdebootstrap-helper-makedev:all 1
2013-05-24 05:21:54 status installed cdebootstrap-helper-makedev:all 1
2013-05-24 05:21:54 startup archives unpack
2013-05-24 05:21:54 install libc-bin:amd64 <none> 2.13-38
